month,return,baseline_return,defensive_return,risk_probability,activation,defensive_shift,turnover,incremental_turnover,incremental_trade_cost,incremental_fx_cost,nav,drawdown
2018-07,-0.0373280282119513,-0.0373280282119513,0.0018986249352741513,0.06980982905982906,0.0,0.0,0.1430532208531568,0.0,0.0,0.0,3.999143606212214,-0.03732802821195125
2018-08,0.0276582313421644,0.0276582313421644,0.014471115194671036,0.0705042735042735,0.0,0.0,0.0684481917054724,0.0,0.0,0.0,4.109752845243369,-0.010702224109619851
2018-09,-0.0097215983966409,-0.0097215983966409,-0.00249066002490661,0.0705042735042735,0.0,0.0,0.6241005895602885,0.0,0.0,0.0,4.0697994785724605,-0.020319779781516223
2018-10,0.0220400707661723,0.0220400707661723,0.008114856429463302,0.0705042735042735,0.0,0.0,0.1077377391842253,0.0,0.0,0.0,4.159498147084329,0.0
2018-11,-0.0752259284070088,-0.0752259284070088,0.007880664227413403,0.0705042735042735,0.0,0.0,0.5852228870879886,0.0,0.0,0.0,3.8465960372626773,-0.07522592840700881
2018-12,0.02395703891838522,0.0254776693685518,0.005305780508237934,0.8281196581196582,0.6562393162393163,0.06562393162393164,0.6113441269886843,0.13124786324786328,0.00019687179487179492,0.0,3.9387490882306855,-0.05307107998314198
2019-01,0.024143204415239143,0.0258600705475218,0.00038888888888877204,0.8360833333333333,0.6721666666666666,0.06721666666666666,0.13604470808083363,0.0031854700854700435,4.778205128205065e-06,0.0,4.033843112608176,-0.030209181500473248
2019-02,-0.004974345665872136,-0.0054473254326031,0.0012217470983506562,0.8697525252525252,0.7395050505050504,0.07395050505050504,0.7217547462553976,0.013467676767676767,2.020151515151515e-05,0.0,4.013777382604165,-0.03503325625527898
2019-03,-0.007505922817477215,-0.0072840713023257,0.008930057130179136,0.07926159420289855,0.0,0.0,0.18543491884561197,0.1479010101010101,0.00022185151515151513,0.0,3.9836502793638027,-0.04227622215525917
2019-04,0.0153872829096248,0.0153872829096248,0.0030236393622868896,0.079956038647343,0.0,0.0,0.1806149036432223,0.0,0.0,0.0,4.04494783322538,-0.02753945543628744
2019-05,-0.0246788057218342,-0.0246788057218342,0.010030145245272681,0.079956038647343,0.0,0.0,0.1412462211613225,0.0,0.0,0.0,3.9451233514942565,-0.05153862028772438
2019-06,0.0415598225889219,0.0415598225889219,0.004666811373996049,0.08065048309178745,0.0,0.0,0.0243099514739418,0.0,0.0,0.0,4.109081978073771,-0.012120733614437995
2019-07,-0.0115636699878608,-0.0115636699878608,0.014313492492168178,0.08091959064327486,0.0,0.0,0.0166063952513505,0.0,0.0,0.0,4.06156591012626,-0.023544243438770707
2019-08,0.013193776164684,0.013193776164684,0.006390116619628294,0.0813449275362319,0.0,0.0,0.0154754004612059,0.0,0.0,0.0,4.115153301622577,-0.010661104751984563
2019-09,0.0106160426009014,0.0106160426009014,-0.008730620667760203,0.07429166666666667,0.0,0.0,0.0246302466199937,0.0,0.0,0.0,4.1588399443818425,-0.0001582408933028523
2019-10,-0.0033045829564761,-0.0033045829564761,-0.010248745596242226,0.08082051282051284,0.0,0.0,0.029013506843449,0.0,0.0,0.0,4.145096712782927,-0.003462300929619855
2019-11,0.0050225748442569,0.0050225748442569,0.00755042605975631,0.057779569892473126,0.0,0.0,0.0040963076288226,0.0,0.0,0.0,4.165915771259562,0.0
2019-12,0.0361483710690695,0.0361483710690695,-0.0021946258430575183,0.05708512544802867,0.0,0.0,0.0018896082701401,0.0,0.0,0.0,4.316506840401542,0.0
2020-01,-0.0065627607357565,-0.0065627607357565,0.006759294029290208,0.07114554637281911,0.0,0.0,0.0180848148614252,0.0,0.0,0.0,4.28817863879373,-0.006562760735756457
2020-02,-0.0052230137767729,-0.0052230137767729,0.013321255395108533,0.07096630236794171,0.0,0.0,0.1230904157176751,0.0,0.0,0.0,4.2657814226860475,-0.011751497122792776
2020-03,-0.0578514948978768,-0.0601717220060064,-0.011778934637429517,0.7555722222222222,0.5111444444444444,0.05111444444444444,0.6561929552344397,0.10222888888888888,0.00015334333333333333,0.0,4.018999590476068,-0.06892315034482788
2020-04,0.05247910862655819,0.0550179653140785,0.0037247911456392835,0.7469824561403509,0.4939649122807017,0.049396491228070175,0.28873400783872516,0.003435906432748534,5.153859649122801e-06,0.0,4.229913106554754,-0.02006106721210066
2020-05,0.043088830285925445,0.0448331982731318,0.008111117001537327,0.7366666666666667,0.4733333333333334,0.04733333333333334,0.06878347829849997,0.004126315789473672,6.1894736842105085e-06,0.0,4.412175114527304,0.0
2020-06,0.02457813663173695,0.0252222797451984,-5.2587294909534066e-05,0.6127151763818148,0.22543035276362966,0.022543035276362967,0.09099260703818884,0.04958059611394074,7.437089417091112e-05,0.0,4.5206181573353055,0.0
2020-07,0.05376934392771331,0.0538369730335424,0.006889297922692661,0.07750177777777778,0.0,0.0,0.060060788151120335,0.04508607055272593,6.76291058290889e-05,0.0,4.763688829802933,0.0
2020-08,0.0051808822345806,0.0051808822345806,-0.010707197325812268,0.07658333333333334,0.0,0.0,0.0117824513984531,0.0,0.0,0.0,4.7883689406323295,0.0
2020-09,-0.0052540975549641,-0.0052540975549641,0.009133625468560114,0.07566841644794402,0.0,0.0,0.0073618480536438,0.0,0.0,0.0,4.7632103830890875,-0.005254097554963977
2020-10,-0.0250188414337223,-0.0250188414337223,-0.0041330961598827765,0.07523772609819121,0.0,0.0,0.0142511547920828,0.0,0.0,0.0,4.644040377799122,-0.030141487555081392
2020-11,0.0445469533934088,0.0445469533934088,-0.0027843446283162265,0.07502735042735043,0.0,0.0,0.0727061214587087,0.0,0.0,0.0,4.850918228066049,0.0
2020-12,0.07120555770232218,0.0779123049450798,-0.0025813928985353174,0.9016319444444444,0.8032638888888888,0.08032638888888888,0.22245468977110536,0.16065277777777776,0.00024097916666666663,0.0,5.1963305658638514,0.0
2021-01,0.018764014261828735,0.0190049934284954,-0.00216553108329387,0.08191885389326334,0.0,0.0,0.38037251229641705,0.16065277777777776,0.00024097916666666663,0.0,5.293834586710898,0.0
2021-02,0.0080763008513318,0.0080763008513318,-0.005134448443785744,0.08164756944444446,0.0,0.0,0.0539114164618749,0.0,0.0,0.0,5.336589187490361,0.0
2021-03,-0.0063781287606147,-0.0063781287606147,-0.0028198989092843574,0.07302631578947369,0.0,0.0,0.039778017229532,0.0,0.0,0.0,5.302551734510043,-0.006378128760614721
2021-04,0.0126911753662255,0.0126911753662255,-0.00362821470494068,0.07352280265339967,0.0,0.0,0.5139743479862735,0.0,0.0,0.0,5.369847348461193,0.0
2021-05,0.0260360305064542,0.0260360305064542,-0.0011245582092749284,0.08060353535353537,0.0,0.0,0.0541839442320728,0.0,0.0,0.0,5.5096568578407314,0.0
2021-06,0.0249271428957034,0.0249271428957034,0.0029485873586019284,0.0827589605734767,0.0,0.0,0.0100855377028407,0.0,0.0,0.0,5.646996861642419,0.0
2021-07,0.0043244918945017,0.0043244918945017,0.011706221937139105,0.0827589605734767,0.0,0.0,0.0647971442884562,0.0,0.0,0.0,5.671417253798869,0.0
2021-08,-0.0133926451900083,-0.0133926451900083,-0.00036984202462098104,0.08923263888888888,0.0,0.0,0.134889086710183,0.0,0.0,0.0,5.59546197479425,-0.013392645190008157
2021-09,0.0268398930137905,0.0268398930137905,-0.013107822410147962,0.08992708333333332,0.0,0.0,0.0913221426167236,0.0,0.0,0.0,5.745643575560461,0.0
2021-10,0.0238886173025203,0.0238886173025203,-0.014460154241645151,0.08455777777777779,0.0,0.0,0.0469515738235465,0.0,0.0,0.0,5.882899056093709,0.0
2021-11,-0.0431940667716415,-0.0431940667716415,0.017661123790892352,0.08346382428940569,0.0,0.0,0.1018691231303848,0.0,0.0,0.0,5.628792721453971,-0.043194066771641504
2021-12,0.037742648499933,0.037742648499933,-0.0034709243338495455,0.07630058043117745,0.0,0.0,0.1471957732440773,0.0,0.0,0.0,5.84123826661879,-0.007081676751153121
2022-01,0.0380551893257803,0.0380551893257803,-0.013717715143071518,0.07775174978127736,0.0,0.0,0.2348889606401593,0.0,0.0,0.0,6.0635276947519605,0.0
2022-02,0.0550302950290386,0.0550302950290386,-0.003151146365315771,0.07630058043117745,0.0,0.0,0.2072964001766024,0.0,0.0,0.0,6.397205412710908,0.0
2022-03,0.016027887566874795,0.0168713310345856,-0.015969042947460044,0.6176666666666667,0.2353333333333334,0.02353333333333334,0.10126506026761409,0.04706666666666668,7.060000000000002e-05,0.0,6.499739101808042,0.0
2022-04,0.016414073839800654,0.0177665166072935,-0.011188036554971026,0.7226666666666667,0.44533333333333336,0.04453333333333334,0.2318213438629113,0.042,6.3e-05,0.0,6.606426299364559,0.0
2022-05,0.043573184171595794,0.0456975430370913,0.00022405198005936988,0.7329065656565655,0.46581313131313107,0.04658131313131311,0.07224624265997324,0.004095959595959542,6.143939393939313e-06,0.0,6.894289329222845,0.0
2022-06,-0.028435283404105165,-0.0293723997608934,-0.011256090048720302,0.7637457264957265,0.527491452991453,0.052749145299145296,0.17498398119933428,0.012335664335664367,1.8503496503496552e-05,0.0,6.698248258276496,-0.02843528340410517
2022-07,-0.016419463474569566,-0.0182335818530454,0.015348889895786089,0.7707222222222222,0.5414444444444444,0.05414444444444444,0.13600692510021228,0.002790598290598287,4.18589743589743e-06,0.0,6.588266615656125,-0.044387854781432035
2022-08,-0.01689939456490109,-0.0162428591602307,-0.027221509455012116,0.7929355555555555,0.585871111111111,0.058587111111111104,0.3744045087362813,0.008885333333333328,1.3327999999999993e-05,0.0,6.476928898619387,-0.060537121474492084
2022-09,0.039557396281342985,0.042749352711437,-0.01278743047193065,0.7870555555555555,0.574111111111111,0.05741111111111111,0.7578928120350431,0.002351999999999993,3.5279999999999893e-06,0.0,6.7331393417481555,-0.02337441609704749
