date,market,category,sell_volume,buy_volume,net_buy_volume,sell_value_krw,buy_value_krw,net_buy_value_krw
2002-05-23,ALL,전체,14309900,3136143,-11173757,420395372900,96985291770,-323410081130
2002-05-24,ALL,차익,419670,6246259,5826589,12114156500,171841292060,159727135560
2002-05-24,ALL,비차익,432368,4551495,4119127,15122460650,145585195450,130462734800
2002-05-24,ALL,전체,852038,10797754,9945716,27236617150,317426487510,290189870360
2002-05-27,ALL,차익,2633214,2671682,38468,68448585550,69131344600,682759050
2002-05-27,ALL,비차익,2686362,1607124,-1079238,90727747500,53109619460,-37618128040
2002-05-27,ALL,전체,5319576,4278806,-1040770,159176333050,122240964060,-36935368990
2002-05-28,ALL,차익,984980,4948992,3964012,24994593150,123651666440,98657073290
2002-05-28,ALL,비차익,915473,3246509,2331036,33245562780,106854815560,73609252780
2002-05-28,ALL,전체,1900453,8195501,6295048,58240155930,230506482000,172266326070
2002-05-29,ALL,차익,7839087,1398545,-6440542,203572155910,37241353280,-166330802630
2002-05-29,ALL,비차익,7080954,811976,-6268978,222473367950,36399136970,-186074230980
2002-05-29,ALL,전체,14920041,2210521,-12709520,426045523860,73640490250,-352405033610
2002-05-30,ALL,차익,1194501,3191380,1996879,31588128480,77972170650,46384042170
2002-05-30,ALL,비차익,1555500,2249227,693727,50915917210,79385507880,28469590670
2002-05-30,ALL,전체,2750001,5440607,2690606,82504045690,157357678530,74853632840
2002-05-31,ALL,차익,1260506,3556740,2296234,30695094560,88927619750,58232525190
2002-05-31,ALL,비차익,4098095,2632313,-1465782,157356102790,95416956150,-61939146640
2002-05-31,ALL,전체,5358601,6189053,830452,188051197350,184344575900,-3706621450
2002-06-03,ALL,차익,1990795,2232300,241505,48721196110,55047325450,6326129340
2002-06-03,ALL,비차익,2406910,1561647,-845263,85366865600,52189862710,-33177002890
2002-06-03,ALL,전체,4397705,3793947,-603758,134088061710,107237188160,-26850873550
2002-06-04,ALL,차익,4463890,2212038,-2251852,107437133550,54340343720,-53096789830
2002-06-04,ALL,비차익,2374498,937287,-1437211,85352642600,33346303420,-52006339180
2002-06-04,ALL,전체,6838388,3149325,-3689063,192789776150,87686647140,-105103129010
2002-06-05,ALL,차익,1919059,1909598,-9461,46158480760,50380872590,4222391830
2002-06-05,ALL,비차익,1046205,1565915,519710,40698590650,85314302700,44615712050
2002-06-05,ALL,전체,2965264,3475513,510249,86857071410,135695175290,48838103880
2002-06-07,ALL,차익,8356643,1131798,-7224845,198544166200,27902590250,-170641575950
2002-06-07,ALL,비차익,4099668,1448396,-2651272,134583161250,54240201150,-80342960100
